Agency_ID,Max_Lat,Min_Lat,Max_Long,Min_Long
00176,44.7651516178,44.681309808,-122.9456078454,-123.054371537
00182,44.2297718298,44.1603314858,-123.1442919452,-123.3403010989
00186,45.0193764422,44.9824539823,-122.9971830483,-123.0632740552
00195,45.440898,45.396412,-122.648902,-122.722545
00204,44.572716239,44.4749614477,-122.9017438081,-122.9456110678
00211,43.9738610437,43.9738610437,-122.8622852531,-122.8622852531
00219,45.1175749355,44.9067441983,-122.7695321816,-122.9865359647
00224,42.393425,42.287272,-122.821988,-122.903551
00233,45.158579,45.094911,-122.505346,-122.603724
00234,45.1297229446,45.1297229446,-122.7699408782,-122.7699408782
00259,44.6898495467,44.6131632434,-124.0446048409,-124.0591227812
00270,43.7573847596,43.7456464685,-122.4318450141,-122.523505688
00291,45.5995067346,45.4504027637,-122.4887480957,-122.7777873745
00318,42.433958,42.390614,-123.067246,-123.218443
00321,44.9898205616,44.8666273063,-122.9670224947,-123.1384024225
00323,45.411197,45.340353,-122.142784,-122.29486
00327,44.7106848845,44.7106848845,-122.7874601452,-122.7874601452
00330,44.5253389415,44.4405790807,-124.0645253081,-124.0735139457
00334,42.641965,42.599761,-122.812043,-122.827842
00337,44.7198747599,44.7198747599,-123.9175995156,-123.9175995156
00340,45.175738814,44.9840102546,-122.7203577403,-122.8881717652
00342,44.2886638674,44.2854414517,-121.5103419957,-121.5515141379
00355,44.8171256149,44.7730389056,-122.8202103606,-122.8867915757
00363,43.9023720213,43.8748584199,-121.4280915466,-121.4434042455
00365,44.4343198763,44.3593668696,-122.5323613331,-122.8109097706
00368,45.0091911818,44.2838242254,-123.8358284192,-124.1095222514
00370,44.5550559411,44.5550559411,-123.0085590588,-123.0085590588
00374,44.1071686717,44.0511609705,-122.6756893066,-122.8609810999
00392,44.4179351896,44.4044309239,-123.9414461769,-124.0709488477
00415,42.665111,42.665111,-123.377091,-123.377091
00416,45.175738814,45.136634548,-122.844175458,-122.855044979
00424,44.1710131709,44.1694926411,-122.853040101,-122.8707008302
00429,42.665111,42.396279152,-123.3340348722,-123.4194909975
00461,44.1522056737,44.1522056737,-122.3375327363,-122.3375327363
00467,NA,NA,NA,NA
00472,44.8708292498,44.8097797783,-123.1849991128,-123.229504741
00485,45.572866,45.298983,-122.640437,-123.041637
00515,39.707637,39.705282,-104.217393,-104.222964
00520,39.694471,39.428384,-104.685167,-105.09148
00530,45.700091,45.700091,-123.195668,-123.195668
00538,44.3594367842,44.2290304946,-121.133966,-121.2533209034
00543,43.8470862107,43.7649358708,-123.0225286981,-123.0745109004
