near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,objectid,station,stationnumber,y2015,y2016,y2017,y2018,avg_2015_2018,latitude,longitude,geography
[None],,,,,,,,,,,,,74,Suitland,88.0,5261.0,5023.0,4780.0,4290.0,4838.5000000000000000,38.843972333424496,-76.93187241727175,0101000020E6100000810E35CCA33B53C0BD641149076C4340
[None],,,,,,,,,,,,,77,Twinbrook,16.0,4443.0,4178.0,4146.0,3807.0,4143.5000000000000000,39.06247546719392,-77.12082028279879,0101000020E61000001DD4FE84BB4753C03A333432FF874340
[None],,,,,,,,,,,,,78,Tysons Corner,112.0,3141.0,3049.0,3079.0,3480.0,3187.2500000000000000,38.92068205304503,-77.22171803734176,0101000020E61000003CD4D9A0304E53C0D8EBD5E8D8754340
[None],,,,,,,,,,,,,8,Braddock Road,47.0,4725.0,4610.0,4003.0,4376.0,4428.5000000000000000,38.8141514349499,-77.05366987002711,0101000020E61000000223C0536F4353C0F78C3D1D36684340
[None],,,,,,,,,,,,,81,Van Dorn Street,94.0,3234.0,3089.0,2497.0,2576.0,2849.0000000000000000,38.79931543459018,-77.12911384120319,0101000020E61000006F5BB366434853C05D60D9F74F664340
[None],,,,,,,,,,,,,83,Vienna/Fairfax-GMU ,103.0,11458.0,9863.0,9052.0,8970.0,9835.7500000000000000,38.8776088960101,-77.27262462374156,0101000020E61000007AC38CAE725153C06285017D55704340
[None],,,,,,,,,,,,,84,Virginia Square-GMU,98.0,3970.0,3634.0,3614.0,3728.0,3736.5000000000000000,38.88337393190739,-77.10297960931574,0101000020E61000009F8AC937974653C031D7A16512714340
[None],,,,,,,,,,,,,86,West Falls Church-VT/UVA,101.0,3051.0,2671.0,2445.0,2544.0,2677.7500000000000000,38.90078833117609,-77.18909716495598,0101000020E610000025D0FE2A1A4C53C0868233084D734340
[None],,,,,,,,,,,,,87,West Hyattsville,77.0,3843.0,3505.0,3540.0,3184.0,3518.0000000000000000,38.955047969567325,-76.96957895258457,0101000020E6100000670FE1940D3E53C091B309033F7A4340
[None],,,,,,,,,,,,,88,Wheaton,33.0,4231.0,3840.0,3564.0,3468.0,3775.7500000000000000,39.03753495702025,-77.05010936095869,0101000020E6100000A0A2E4FD344353C0EB6D0AF2CD844340
[None],,,,,,,,,,,,,89,White Flint,15.0,3855.0,3505.0,3461.0,3506.0,3581.7500000000000000,39.048159170302675,-77.11283218640585,0101000020E610000028A37DA4384753C0EBB966142A864340
[None],,,,,,,,,,,,,9,Branch Ave ,89.0,6145.0,5600.0,5621.0,5263.0,5657.2500000000000000,38.82645412413882,-76.91146646983012,0101000020E61000008AD47577553A53C00869AD3FC9694340
[None],,,,,,,,,,,,,90,Wiehle-Reston East,115.0,8588.0,7497.0,7341.0,7785.0,7802.7500000000000000,38.94774066340996,-77.34006221623507,0101000020E61000006F555094C35553C0B237E9904F794340
